source_name,author,date,title,description,content,title_desc,one_shot_class,tesla_related,label
Fortune,Erin Prater,2023-09-17,Does Elon Musk have PTSD? Biographer Walter Isaacson says the billionaire's turbulent childhood with an abusive father left him scarred,"Was Isaacson misappropriating the term, as mental health experts say commonly occurs? Or is Elons mental state, perhaps, even more nuanced than he alludes to?","Elon Musk has post-traumatic stress disorder from a turbulent childhood that included time in apartheid South Africa and verbal abuse from his father, famed author Walter Isaacson claims in his new b [+7184 chars]","Does Elon Musk have PTSD? Biographer Walter Isaacson says the billionaire's turbulent childhood with an abusive father left him scarred Was Isaacson misappropriating the term, as mental health experts say commonly occurs? Or is Elons mental state, perhaps, even more nuanced than he alludes to?",no,no,neutral
Next Big Future,Brian Wang,2023-09-17,"Pepsi Tesla Semi Proves Real World 80,000 lbs Maxmium Gross Weight Operation With Long Range on a Charge","There has been official reporting that Tesla Semi is able drive over 420 miles on one charge with 80,000 pounds of total load (including the weight of the truck and trailer). This was a heavily disputed capability. The range was with driving speeds of 65 mph ","There has been official reporting that Tesla Semi is able drive over 420 miles on one charge with 80,000 pounds of total load (including the weight of the truck and trailer). This was a heavily dispu [+2748 chars]","Pepsi Tesla Semi Proves Real World 80,000 lbs Maxmium Gross Weight Operation With Long Range on a Charge There has been official reporting that Tesla Semi is able drive over 420 miles on one charge with 80,000 pounds of total load (including the weight of the truck and trailer). This was a heavily disputed capability. The range was with driving speeds of 65 mph ",yes,yes,positive
Politico,By James Bikales,2023-09-18,What the UAW strike means for the Musk-Biden tug of war,Teslas continued dominance on electric cars would undermine Bidens hopes of basing the next generation of cars and trucks on unionized labor.,"Musk has already won a number of early skirmishes with the administration, including by getting several other big automakers to adopt Teslas charging technology as a de-facto industry standard.
Tesl [+7375 chars]",What the UAW strike means for the Musk-Biden tug of war Teslas continued dominance on electric cars would undermine Bidens hopes of basing the next generation of cars and trucks on unionized labor.,yes,yes,positive
Business Insider,Nora Naughton,2023-09-18,Ford and GM workers already make $20 more an hour than Tesla employees. Their union's demands would double that gap.,"Tesla is the real reason Ford, GM, and Stellantis execs don't want to meet the UAW union's strike demands.","UAW President Shawn Fain marches with UAW members through downtown Detroit on September 15, 2023.Bill Pugliano/Getty
<ul><li>Detroit executives have Tesla in mind as they reject the UAW's big demand [+3163 chars]","Ford and GM workers already make $20 more an hour than Tesla employees. Their union's demands would double that gap. Tesla is the real reason Ford, GM, and Stellantis execs don't want to meet the UAW union's strike demands.",no,yes,positive
Breitbart News,"Lucas Nolan, Lucas Nolan",2023-09-18,WSJ: Elon Musk's Tesla in Preliminary Talks to Build Manufacturing Plant in Saudi Arabia,"Elon Musk's Tesla is reportedly in early-stage discussions with Saudi Arabia to establish a manufacturing facility, a move that could prove controversial based on the blowback over the country backing LIV Golf and its eventual merger with the PGA. Musk took t","Elon Musks Tesla is reportedly in early-stage discussions with Saudi Arabia to establish a manufacturing facility, a move that could prove controversial based on the blowback over the country backin [+2570 chars]","WSJ: Elon Musk's Tesla in Preliminary Talks to Build Manufacturing Plant in Saudi Arabia Elon Musk's Tesla is reportedly in early-stage discussions with Saudi Arabia to establish a manufacturing facility, a move that could prove controversial based on the blowback over the country backing LIV Golf and its eventual merger with the PGA. Musk took t",yes,yes,positive
Fortune,Paige Hagy,2023-09-18,Musk and Tesla are the 'clear winners' of the Detroit auto strike. Analysts say Elon 'put champagne on ice' as he sees the ultimate EV victory,Analysts say Musk and Tesla are clear winners of the strike given the companys non-union status that lets it continue to pump out cars while Detroit is shut down.,"President Joe Biden is caught between a rock and a hard place as autoworkers strike against Detroits Big Three U.S. carmakers: Ford, General Motors, and Stellantis (formerly Fiat Chrysler). Biden, wh [+3691 chars]",Musk and Tesla are the 'clear winners' of the Detroit auto strike. Analysts say Elon 'put champagne on ice' as he sees the ultimate EV victory Analysts say Musk and Tesla are clear winners of the strike given the companys non-union status that lets it continue to pump out cars while Detroit is shut down.,yes,yes,positive
Breitbart News,"Simon Kent, Simon Kent",2023-09-18,Erdogan in NYC Urges Elon Musk to Build a Tesla Factory in Turkey,Turkish President Recep Tayyip Erdogan used a break in New York City on Sunday to urge tech giant Elon Musk to open his next Tesla factory in Turkey.,"Turkish President Recep Tayyip Erdogan used a break in New York City on Sunday to urge tech giant Elon Musk to open his next Tesla factory in Turkey.
Erdogans entreaty makes him just the latest in  [+1703 chars]",Erdogan in NYC Urges Elon Musk to Build a Tesla Factory in Turkey Turkish President Recep Tayyip Erdogan used a break in New York City on Sunday to urge tech giant Elon Musk to open his next Tesla factory in Turkey.,yes,yes,positive
NBC News,"Lora Kolodny, CNBC",2023-09-18,"Elon Musk says Twitter, now X, is moving to small monthly subscription","Elon Musk discussed his plans for Twitter, now called X, on Monday during a livestreamed conversation with Israeli Prime Minister Benjamin Netanyahu.","Elon Musk discussed his plans for Twitter, now called X, on Monday during a livestreamed conversation with Israeli Prime Minister Benjamin Netanyahu. Among other things, Musk said the social network  [+4171 chars]","Elon Musk says Twitter, now X, is moving to small monthly subscription Elon Musk discussed his plans for Twitter, now called X, on Monday during a livestreamed conversation with Israeli Prime Minister Benjamin Netanyahu.",no,no,neutral
Fortune,Christiaan Hetzner,2023-09-18,UAW boss says Big 3 can give their fair share after earning a quarter of a trillion in profits over past decade,"UAW boss Shawn Fain says after securing a deal with General Motors, Ford and Stellantis, Tesla will be next.","Union leader Shawn Fain has a message for Elon Musk: after the United Auto Workers (UAW) secure a historic pay hike for staff at Detroits Big 3, hes coming for Tesla next.Before workers had downed th [+2546 chars]","UAW boss says Big 3 can give their fair share after earning a quarter of a trillion in profits over past decade UAW boss Shawn Fain says after securing a deal with General Motors, Ford and Stellantis, Tesla will be next.",yes,yes,negative
The Times of India,Reuters,2023-09-18,"Tesla, Saudi Arabia in early talks for electric vehicle factory: Report","The report comes just hours after Turkish President Tayyip Erdogan asked Tesla CEO Elon Musk to build a vehicle factory in Turkey, according to the country's communications directorate. Musk is also set to meet Israeli Prime Minister Benjamin Netanyahu in Cal","Saudi Arabia is in early talks with U.S. electric automaker Tesla to set up a manufacturing facility in the kingdom, the Wall Street Journal reported on Monday, citing sources familiar with the matte [+1593 chars]","Tesla, Saudi Arabia in early talks for electric vehicle factory: Report The report comes just hours after Turkish President Tayyip Erdogan asked Tesla CEO Elon Musk to build a vehicle factory in Turkey, according to the country's communications directorate. Musk is also set to meet Israeli Prime Minister Benjamin Netanyahu in Cal",yes,yes,positive
The Times of India,AFP,2023-09-18,Turkish President Recep Tayyip Erdogan lobbies Elon Musk for new Tesla factory,"Turkish President Recep Tayyip Erdogan has urged Elon Musk to open a Tesla factory in Turkey. Erdogan and Musk have developed a friendship, with Erdogan's office stating that Turkey is one of the most important candidates for a new Tesla factory. This follows","Turkish President Recep Tayyip Erdogan urged tech tycoon Elon Musk to open his next Tesla factory in Turkey, becoming the latest leader to lobby one of the world's richest men.Erdogan and Musk have h [+2555 chars]","Turkish President Recep Tayyip Erdogan lobbies Elon Musk for new Tesla factory Turkish President Recep Tayyip Erdogan has urged Elon Musk to open a Tesla factory in Turkey. Erdogan and Musk have developed a friendship, with Erdogan's office stating that Turkey is one of the most important candidates for a new Tesla factory. This follows",yes,yes,positive
The Times of India,Reuters,2023-09-18,Turkish President Erdogan asks Musk to build Tesla factory in Turkey,"Turkish President Tayyip Erdogan has asked Tesla CEO Elon Musk to consider building a Tesla factory in Turkey. During a meeting in New York, Erdogan also discussed potential cooperation on artificial intelligence and SpaceX's Starlink satellite internet ventu","Turkish President Tayyip Erdogan asked Tesla CEO Elon Musk to build a Tesla factory in Turkey, the country's communications directorate said on Monday.It cited Musk as saying that many Turkish suppli [+2086 chars]","Turkish President Erdogan asks Musk to build Tesla factory in Turkey Turkish President Tayyip Erdogan has asked Tesla CEO Elon Musk to consider building a Tesla factory in Turkey. During a meeting in New York, Erdogan also discussed potential cooperation on artificial intelligence and SpaceX's Starlink satellite internet ventu",yes,yes,positive
ABC News,The Associated Press,2023-09-18,Netanyahu visits Elon Musk in California with plans to talk about artificial intelligence,Prime Minister Benjamin Netanyahu is starting a U.S. trip in California to talk about technology and artificial intelligence with billionaire businessman Elon Musk,"SAN JOSE, Calif. -- Prime Minister Benjamin Netanyahu is starting a U.S. trip in California to talk about technology and artificial intelligence with billionaire businessman Elon Musk.
The Israeli l [+2567 chars]",Netanyahu visits Elon Musk in California with plans to talk about artificial intelligence Prime Minister Benjamin Netanyahu is starting a U.S. trip in California to talk about technology and artificial intelligence with billionaire businessman Elon Musk,no,yes,positive
Business Insider,Theron Mohamed,2023-09-18,"Elon Musk blasted short-sellers as bloodsuckers. Bill Gates, 'Big Short' star Michael Burry, and other top investors have bet against Tesla.","Elon Musk hates people who bet against Tesla. Bill Gates, Michael Burry, Jim Chanos, and David Einhorn have all taken short positions in recent years.","Elon Musk.REUTERS/Rebecca Cook
<ul>
<li>Elon Musk blasted short-sellers as ""leeches"" and bemoaned their access to inside information.</li>
<li>Bill Gates, Michael Burry, David Einhorn, and Jim Chano [+3180 chars]","Elon Musk blasted short-sellers as bloodsuckers. Bill Gates, 'Big Short' star Michael Burry, and other top investors have bet against Tesla. Elon Musk hates people who bet against Tesla. Bill Gates, Michael Burry, Jim Chanos, and David Einhorn have all taken short positions in recent years.",yes,yes,negative
Fortune,Christiaan Hetzner,2023-09-18,Tim Cook admits we constantly ask ourselves whether Apple should pull ads from Twitter,"The Apple CEO, awarded by the ADL for combatting bigotry, already pulled its spending from Elon Musk's social media platform once.","Elon Musks controversial management of Twitter, now rebranded X under the tycoon, already led Apple to cut its advertising spending once. It may not be the last time either after Musks recent attack  [+2919 chars]","Tim Cook admits we constantly ask ourselves whether Apple should pull ads from Twitter The Apple CEO, awarded by the ADL for combatting bigotry, already pulled its spending from Elon Musk's social media platform once.",no,no,negative
Fortune,Nicholas Gordon,2023-09-18,"Workers shouldn't accept lower wages so greedy people like Elon Musk can build more rocket ships,' says UAW president Shawn Fain",UAW president Shawn Fain was defending the union's demands as automakers worry of an even larger cost disadvantage to EV maker Tesla.,"The president of the auto workers union had harsh words for Elon Musk, the Tesla CEO and longtime nemesis of organized labor.Workers in companies like Tesla are scraping to get by so that greedy CEOs [+4474 chars]","Workers shouldn't accept lower wages so greedy people like Elon Musk can build more rocket ships,' says UAW president Shawn Fain UAW president Shawn Fain was defending the union's demands as automakers worry of an even larger cost disadvantage to EV maker Tesla.",yes,yes,negative
Reuters,Chandni Shah,2023-09-18,Erdogan asks Musk to build Tesla factory in Turkey,"Turkish President Tayyip Erdogan asked Tesla <a href=""https://www.reuters.com/markets/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> CEO Elon Musk to build a Tesla factory in Turkey, the country's communications directorate said on Monday.","ISTANBUL, Sept 17 (Reuters) - Turkish President Tayyip Erdogan asked Tesla (TSLA.O) CEO Elon Musk to build a Tesla factory in Turkey, the country's communications directorate said on Monday.
It cite [+2248 chars]","Erdogan asks Musk to build Tesla factory in Turkey Turkish President Tayyip Erdogan asked Tesla <a href=""https://www.reuters.com/markets/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> CEO Elon Musk to build a Tesla factory in Turkey, the country's communications directorate said on Monday.",yes,yes,positive
Associated Press,AP,2023-09-18,Netanyahu talks to Elon Musk in California about antisemitism on X and artificial intelligence,Israeli Prime Minister Benjamin Netanyahu kicked off a U.S. trip in California to talk to billionaire businessman Elon Musk about antisemitism on his social media platform X  while Musk asked him to address his judicial overhaul in Israel. The,"SAN JOSE, Calif. (AP) Israeli Prime Minister Benjamin Netanyahu kicked off a U.S. trip in California to talk to billionaire businessman Elon Musk about antisemitism on his social media platform X whi [+5749 chars]",Netanyahu talks to Elon Musk in California about antisemitism on X and artificial intelligence Israeli Prime Minister Benjamin Netanyahu kicked off a U.S. trip in California to talk to billionaire businessman Elon Musk about antisemitism on his social media platform X  while Musk asked him to address his judicial overhaul in Israel. The,no,no,neutral
The Jerusalem Post,By JERUSALEM POST STAFF,2023-09-18,WATCH: PM Netanyahu speaks with Elon Musk,"The two discussed a number of issues, such as the risks and benefits of artificial intelligence (AI).","Prime Minister Benjamin Netanyahu spoke with Tesla CEO Elon Musk in an X Space conversation on Monday evening, welcoming the CEO's stance against antisemitism amid controversy surrounding widespread  [+2288 chars]","WATCH: PM Netanyahu speaks with Elon Musk The two discussed a number of issues, such as the risks and benefits of artificial intelligence (AI).",no,yes,positive
Breitbart News,"Joel B. Pollak, Joel B. Pollak",2023-09-18,Elon Musk Hosts Benjamin Netanyahu for AI Discussion in California,"Tesla CEO and Twitter/X owner Elon Musk hosted Israeli Prime Minister Benjamin Netanyahu for a live-streamed discussion about Alternative Intelligence (AI) -- and many other topics -- at Tesla's Fremont, California, factory.",Tesla CEO and Twitter/X owner Elon Musk hosted Israeli Prime Minister Benjamin Netanyahu for a live-streamed discussion about Alternative Intelligence (AI)  and many other topics  at Teslas Fremon [+2337 chars],"Elon Musk Hosts Benjamin Netanyahu for AI Discussion in California Tesla CEO and Twitter/X owner Elon Musk hosted Israeli Prime Minister Benjamin Netanyahu for a live-streamed discussion about Alternative Intelligence (AI) -- and many other topics -- at Tesla's Fremont, California, factory.",yes,yes,positive
The Washington Post,Evan Halper,2023-09-18,Tesla and EV supply chains raise concerns about forced labor in China,"Companies with ties to Chinas oppressive tactics in Xinjiang are becoming embedded in the EV supply chain, worrying experts who say the industry is at an inflection point on human rights.","Reporter Evan Halper spent months mapping the opaque China-based supply chains behind the production of millions of electric vehicles. With the help of researchers, he pieced together hundreds of fin [+29891 chars]","Tesla and EV supply chains raise concerns about forced labor in China Companies with ties to Chinas oppressive tactics in Xinjiang are becoming embedded in the EV supply chain, worrying experts who say the industry is at an inflection point on human rights.",yes,,
Hacker News,,2023-09-18,Y Combinator Podcast #4: Sam Altman Interviews Elon Musk,"Elon is the CEO of SpaceX and Tesla Motors.

Originally a cofounder of Paypal, Elon Musk founded SpaceX to enable the
colonization of Mars.


--------------------------------------------------------------------------------








----------------------------","Elon is the CEO of SpaceX and Tesla Motors.
Originally a cofounder of Paypal, Elon Musk founded SpaceX to enable the colonization of Mars.
Subscribe
iTunesGoogle PlayStitcherRSS
Transcript
Craig [+20035 chars]","Y Combinator Podcast #4: Sam Altman Interviews Elon Musk Elon is the CEO of SpaceX and Tesla Motors.

Originally a cofounder of Paypal, Elon Musk founded SpaceX to enable the
colonization of Mars.


--------------------------------------------------------------------------------








----------------------------",yes,,
The Washington Post,Will Oremus,2023-09-18,"Netanyahu, Musk meet at Tesla factory to discuss AI",Tech magnate Elon Musk and Israeli Prime Minister Benjamin Netanyahu are meeting in California to discuss AI as each looks to the other to fend off criticism.,"Comment on this story
Comment
Tech magnate Elon Musk and Israeli Prime Minister Benjamin Netanyahu are meeting at Teslas factory in Fremont, Calif., on Monday in a session each hopes will help fend [+1806 chars]","Netanyahu, Musk meet at Tesla factory to discuss AI Tech magnate Elon Musk and Israeli Prime Minister Benjamin Netanyahu are meeting in California to discuss AI as each looks to the other to fend off criticism.",yes,,
Next Big Future,Brian Wang,2023-09-18,Twitter Space on the Next Great Power,"I, Brian Wang, will be talking with Warren Redlich and @Anything Tesla about the Next Great Power. China vs USA vs India. I will be making a case for ASEAN and Canada. We will discuss demographics, immigration-emigration and people, money and technology. I wo","I, Brian Wang, will be talking with Warren Redlich and @Anything Tesla about the Next Great Power. China vs USA vs India.
I will be making a case for ASEAN and Canada. We will discuss demographics,  [+1989 chars]","Twitter Space on the Next Great Power I, Brian Wang, will be talking with Warren Redlich and @Anything Tesla about the Next Great Power. China vs USA vs India. I will be making a case for ASEAN and Canada. We will discuss demographics, immigration-emigration and people, money and technology. I wo",yes,,
Business Insider,tcarter@insider.com (Tom Carter),2023-09-18,"Elon Musk shared some painfully awkward small talk with Turkey's president, with Erdogan asking the unmarried billionaire how his wife is",The Tesla CEO shared an awkward moment with Recep Tayyip Erdogan as he brought his son X to a meeting to discuss Tesla and Starlink.,"Elon Musk shared an awkward moment with Recep Tayyip Erdogan as he brought his son X to a meeting with the Turkish president.
""Where is your wife?"" asked Erdogan, as the two men exchanged small talk [+1588 chars]","Elon Musk shared some painfully awkward small talk with Turkey's president, with Erdogan asking the unmarried billionaire how his wife is The Tesla CEO shared an awkward moment with Recep Tayyip Erdogan as he brought his son X to a meeting to discuss Tesla and Starlink.",yes,,
The Hill,Sarah Fortinsky,2023-09-18,"Musk, Erdogan discuss Tesla plant in Turkey","Tech billionaire Elon Musk and Turkish President Recep Tayyip Erdogan discussed the prospect of building Teslas newest factory in Turkey, at a meeting...","Tech billionaire Elon Musk and Turkish President Recep Tayyip Erdoan discussed the prospect of building Teslas newest factory in Turkey, at a meeting Monday in New York.
Erdoan, who is in New York f [+1377 chars]","Musk, Erdogan discuss Tesla plant in Turkey Tech billionaire Elon Musk and Turkish President Recep Tayyip Erdogan discussed the prospect of building Teslas newest factory in Turkey, at a meeting...",yes,,
Fortune,"Selcan Hacaoglu, Bloomberg",2023-09-18,"Musk took his son to meet Turkish President Erdogan, who asked him to build a Tesla plant in Turkey","Erdogan has been encouraging development of a self-sufficient defense industry, including production of unmanned combat aircraft, to support Turkeys military in a region mired in conflict.","Elon Musk visited Turkish President Recep Tayyip Erdogan in New York, spending about a 45 minutes discussing artificial intelligence and a potential Tesla factory.According to Erdogans office, he inv [+1644 chars]","Musk took his son to meet Turkish President Erdogan, who asked him to build a Tesla plant in Turkey Erdogan has been encouraging development of a self-sufficient defense industry, including production of unmanned combat aircraft, to support Turkeys military in a region mired in conflict.",yes,,
New York Magazine,Intelligencer Staff,2023-09-18,Walter Isaacson on Almost All the Criticism of His Elon Musk Book,"In the latest episode of On With Kara Swisher, Kara grills author Walter Isaacson on his new biography, and tries to get him to admit whether he actually likes Elon Musk or not, after spending two years following the guy around.","Kara Swisher couldnt wait to interview and cross-examine her longtime friend, Walter Isaacson, about his new biography of Elon Musk, but she did wait to do so until after the reviews, and fact checks [+70934 chars]","Walter Isaacson on Almost All the Criticism of His Elon Musk Book In the latest episode of On With Kara Swisher, Kara grills author Walter Isaacson on his new biography, and tries to get him to admit whether he actually likes Elon Musk or not, after spending two years following the guy around.",no,yes,neutral
Fortune,"Marissa Newman, Bloomberg",2023-09-18,"Despite a war against the ADL and hate on his social media service, Elon Musk tells Benjamin Netanyahu he's no antisemite",Israel's prime minister said hoped Musk would find it within the confines of the First Amendment to limit antisemitism and hate.,Elon Musk opened up a discussion with Israeli Prime Minister Benjamin Netanyahu by staunchly defending himself against accusations of antisemitism.Obviously Im against antisemitism. Im against anti-a [+3795 chars],"Despite a war against the ADL and hate on his social media service, Elon Musk tells Benjamin Netanyahu he's no antisemite Israel's prime minister said hoped Musk would find it within the confines of the First Amendment to limit antisemitism and hate.",no,,
ABC News,The Associated Press,2023-09-18,Turkey's President Erdogan and Elon Musk discuss establishing a Tesla car factory in Turkey,"Turkish President Recep Tayyip Erdogan has called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey","ISTANBUL -- Turkish President Recep Tayyip Erdogan called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey during a meeting in New York, Erdogans office said Monday [+792 chars]","Turkey's President Erdogan and Elon Musk discuss establishing a Tesla car factory in Turkey Turkish President Recep Tayyip Erdogan has called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey",yes,,
Al Jazeera English,Al Jazeera,2023-09-18,Netanyahu talks to Elon Musk in California about anti-Semitism on X,Netanyahus high-profile visit comes at a time when Musk is facing accusations of tolerating anti-Semitism on X.,"Prime Minister Benjamin Netanyahu is starting a US trip in California to talk about technology and artificial intelligence with billionaire businessman Elon Musk.
The Israeli leader posted Monday on [+4420 chars]",Netanyahu talks to Elon Musk in California about anti-Semitism on X Netanyahus high-profile visit comes at a time when Musk is facing accusations of tolerating anti-Semitism on X.,no,,
The Jerusalem Post,By REUTERS,2023-09-18,"Turkey wants a Tesla factory, Erdogan tells Elon Musk","Many Turkish suppliers are already working with Tesla and Turkey was among the most important candidates for its next factory, Musk replied.","Turkish President Tayyip Erdogan asked Tesla CEO Elon Musk to build a Tesla factory in Turkey, the country's communications directorate said on Monday.
It cited Musk as saying that many Turkish supp [+1676 chars]","Turkey wants a Tesla factory, Erdogan tells Elon Musk Many Turkish suppliers are already working with Tesla and Turkey was among the most important candidates for its next factory, Musk replied.",yes,,
Al Jazeera English,Al Jazeera,2023-09-18,"Turkeys Erdogan asks Musk to build Tesla factory, state-owned media says","Turkish president made request while in the US for United Nations General Assembly, Turkish news agency says.","Turkish President Recep Tayyip Erdogan has asked Tesla CEO Elon Musk to build a Tesla factory in Turkey, according to the state-owned Anadolu Agency.
Erdogan asked Musk during a meeting at Turkish H [+1395 chars]","Turkeys Erdogan asks Musk to build Tesla factory, state-owned media says Turkish president made request while in the US for United Nations General Assembly, Turkish news agency says.",yes,yes,positive
Fortune,The Associated Press,2023-09-18,Elon Musk accuses George Soros of wanting 'destruction of western civilization' a day before meeting Netanyahu over antisemitism on X,"A day before discussing antisemitism on X, Musk said Soros organization appears to want nothing less than the destruction of western civilization.",Israeli Prime Minister Benjamin Netanyahu kicked off a U.S. trip in California to talk to billionaire businessman Elon Musk about antisemitism on his social media platform X while Musk asked him to a [+5616 chars],"Elon Musk accuses George Soros of wanting 'destruction of western civilization' a day before meeting Netanyahu over antisemitism on X A day before discussing antisemitism on X, Musk said Soros organization appears to want nothing less than the destruction of western civilization.",no,,
Next Big Future,Brian Wang,2023-09-18,Pepsi Tesla Semi Truck Drives 1600 Miles Over Two Days in Real World Tests,One of Tesla Semi trucks drove 1600 miles over two days. This required two different drivers on each day. Truck drivers in the US are limited to 10 hours of driving without a long break. Semi trucks need to operate long distances day after day. Tesla Semi out,Brian Wang is a Futurist Thought Leader and a popular Science blogger with 1 million readers per month. His blog Nextbigfuture.com is ranked #1 Science News Blog. It covers many disruptive technology [+593 chars],Pepsi Tesla Semi Truck Drives 1600 Miles Over Two Days in Real World Tests One of Tesla Semi trucks drove 1600 miles over two days. This required two different drivers on each day. Truck drivers in the US are limited to 10 hours of driving without a long break. Semi trucks need to operate long distances day after day. Tesla Semi out,yes,yes,positive
The Jerusalem Post,By JERUSALEM POST STAFF,2023-09-18,Elon Musk gives Benjamin Netanyahu tour of Tesla factory,Netanyahu and his wife received from Musk an overview of the company's developments and the various models and observed the production and assembly process of the advanced electric cars.,"Tesla CEO Elon Musk gave Israeli Prime Minister Benjamin Netanyahu a tour of the Tesla factory in Fremont, California on Monday during his visit to the US.
Netanyahu and his wife received from Musk  [+1935 chars]",Elon Musk gives Benjamin Netanyahu tour of Tesla factory Netanyahu and his wife received from Musk an overview of the company's developments and the various models and observed the production and assembly process of the advanced electric cars.,yes,yes,neutral
ABC News (AU),ABC News,2023-09-18,Israel's Netanyahu urges Elon Musk to balance free speech with fighting anti-Semitism,"Israeli Prime Minister Benjamin Netanyahu has urged Elon Musk to strike a balance between protecting free expression and fighting hate speech after weeks of controversy over anti-Semitic content on social media platform X, formerly known as Twitter.",Israeli Prime Minister Benjamin Netanyahu has urged Elon Musk to strike a balance between protecting free expression and fighting hate speech after weeks of controversy over anti-Semitic content on s [+3423 chars],"Israel's Netanyahu urges Elon Musk to balance free speech with fighting anti-Semitism Israeli Prime Minister Benjamin Netanyahu has urged Elon Musk to strike a balance between protecting free expression and fighting hate speech after weeks of controversy over anti-Semitic content on social media platform X, formerly known as Twitter.",no,no,neutral
The Jerusalem Post,By DANIEL GOLDMAN,2023-09-18,"Will Netanyahu, Musk talk AI, innovation or X antisemitism? - opinion","Will Benjamin Netanyahu and Elon Musk discuss AI, electric vehicles, and innovation, or allegations that under Musk, X has become an incubator for antisemitism?","Israeli Prime Minister Benjamin Netanyahu is visiting the United States this week. During the visit he is scheduled to meet with Elon Musk.
Musk is one of the richest people on the planet. His net w [+8450 chars]","Will Netanyahu, Musk talk AI, innovation or X antisemitism? - opinion Will Benjamin Netanyahu and Elon Musk discuss AI, electric vehicles, and innovation, or allegations that under Musk, X has become an incubator for antisemitism?",no,,
The Jerusalem Post,By JERUSALEM POST STAFF,2023-09-18,"Tesla, Saudi Arabia in early talks for EV factory",Saudi Arabia is in early talks with US electric automaker Tesla to set up a manufacturing facility in the king,"Saudi Arabia is in early talks with US electric automaker Tesla to set up a manufacturing facility in the kingdom, the Wall Street Journal reported on Monday, citing sources familiar with the matter.","Tesla, Saudi Arabia in early talks for EV factory Saudi Arabia is in early talks with US electric automaker Tesla to set up a manufacturing facility in the king",yes,,
The Jerusalem Post,By ZVIKA KLEIN,2023-09-18,"WZO chairman slams his deputy, supports Netanyahu-Musk meeting",The debate surrounding the Netanyahu-Musk conversation underscores the complex nature of addressing antisemitism in the digital age.,"The Monday conversation between Israeli Prime Minister Benjamin Netanyahu and Tesla CEO Elon Musk, which aimed to address concerns surrounding antisemitism, has sparked a debate, with World Zionist O [+2666 chars]","WZO chairman slams his deputy, supports Netanyahu-Musk meeting The debate surrounding the Netanyahu-Musk conversation underscores the complex nature of addressing antisemitism in the digital age.",no,no,neutral
BBC News,https://www.facebook.com/bbcnews,2023-09-19,Elon Musk: Social media platform X could go behind paywall,"The billionaire suggested the social media platform, now called X, could charge for use of ""the system"".","Elon Musk has suggested that all users of X, formerly called Twitter, may have to pay for access to the platform.
In a conversation with Israeli Prime Minister Benjamin Netanyahu, the billionaire sa [+2738 chars]","Elon Musk: Social media platform X could go behind paywall The billionaire suggested the social media platform, now called X, could charge for use of ""the system"".",no,,
The Irish Times,Dan Milmo,2023-09-19,"Elon Musk says X, formerly Twitter, moving to charging small monthly payment for site","Worlds richest person, who has history of making impromptu statements, says paywall for platform would ward off automated accounts","X, formerly Twitter, owner Elon Musk has said he's looking at introducing a monthly payment for all users of the site to combat bots. Elon Musk has indicated that X, formerly known as Twitter, is con [+2353 chars]","Elon Musk says X, formerly Twitter, moving to charging small monthly payment for site Worlds richest person, who has history of making impromptu statements, says paywall for platform would ward off automated accounts",no,,
Fortune,Christiaan Hetzner,2023-09-19,Musk wants to charge everyone to use Twitter to counter 'bots,"Bots are actually advertisers' problems, but Musk needs to get account details from all his users if he wants to create an 'everything app' that rivals WeChat.","Right after he offered to buy Twitter for $44 billion last April, Elon Musk tweeted triumphantly we will defeat the spam bots or die trying!Almost a year into owning what he has renamed X, Musk by hi [+3986 chars]","Musk wants to charge everyone to use Twitter to counter 'bots Bots are actually advertisers' problems, but Musk needs to get account details from all his users if he wants to create an 'everything app' that rivals WeChat.",no,,
Next Big Future,Brian Wang,2023-09-19,Comparing Tesla Semi Versus Diesel Semis With Real World Data,There is now real world driving data on the Tesla Semi and other electric Semi trucks from the Runonless testing event. The World has a global fleet of about 30 million Semi trucks and about 3 million are purchased every year. 70% of the large and Semi trucks,There is now real world driving data on the Tesla Semi and other electric Semi trucks from the Runonless testing event. The World has a global fleet of about 30 million Semi trucks and about 3 millio [+7282 chars],Comparing Tesla Semi Versus Diesel Semis With Real World Data There is now real world driving data on the Tesla Semi and other electric Semi trucks from the Runonless testing event. The World has a global fleet of about 30 million Semi trucks and about 3 million are purchased every year. 70% of the large and Semi trucks,yes,,
Business Insider,Sawdah Bhaimiya,2023-09-19,The boss of the United Auto Workers union said Tesla workers are 'scraping to get by' so that 'greedy people like Elon Musk can build more rocket ships',"Thew United Auto Worker's union boss defended worker demands for higher pay saying companies could double wages and ""still make billions in profits.""","UAW President Shawn Fain marches with UAW members through downtown Detroit on September 15, 2023.Bill Pugliano/Getty
<ul><li>The United Auto Workers president Shawn Fain defended worker demands for  [+2765 chars]","The boss of the United Auto Workers union said Tesla workers are 'scraping to get by' so that 'greedy people like Elon Musk can build more rocket ships' Thew United Auto Worker's union boss defended worker demands for higher pay saying companies could double wages and ""still make billions in profits.""",yes,,
